feature,importance
haversine_distance,0.78291835654882
direction,0.04220435126290951
dropoff_latitude,0.031927592713755996
hour_cos,0.02590120336762924
hour,0.023715645019140596
dist_to_jfk_pickup,0.01115021921561727
dow_sin,0.010760480074158162
hour_sin,0.00949004899327947
center_longitude,0.009105186842923055
dropoff_longitude,0.008211484778892945
center_latitude,0.007142992963766481
manhattan_distance,0.006195851830367203
dist_to_lga_pickup,0.005928204202934958
pickup_latitude,0.005332152429446813
dayofweek,0.004730118882064217
pickup_longitude,0.004096832801899712
dow_cos,0.0034562504360830483
month,0.0030442592870724185
is_weekend,0.0020219128678130058
is_rush_hour,0.0015439231499244986
passenger_count,0.00053317882137401
vendor_id,0.0003392058813132554
is_night,0.0002053373352454785
is_lga_trip,3.510754430682784e-05
is_jfk_trip,6.686854870843122e-06
store_and_fwd_flag,3.4158943908726413e-06
